,mquant,iquant,dquant
98,-6.721543436302091,2.3446472478193394,8.599042204131763
99,-6.708339849207737,2.3605752301559173,8.626859716408507
100,-6.6952293762183555,2.3755680194456783,8.662909554657352
101,-6.682471907108516,2.3909857526975933,8.695723238225217
102,-6.670552442137101,2.406030074365929,8.732214275868579
103,-6.658552757208283,2.420783652406559,8.760460221311224
104,-6.647009514772105,2.436399840153044,8.790625904431767
105,-6.635265564718474,2.4512695322651377,8.820024864635402
106,-6.623225371648409,2.466431100883597,8.848819931648979
107,-6.611726651456152,2.4809545169716207,8.877424906403864
108,-6.600120258773131,2.4955056951694843,8.909968099523695
109,-6.588990837825068,2.5097048373980853,8.936232352094162
110,-6.5774049431872585,2.5242267925302597,8.971025325700406
111,-6.5661065491773485,2.5381116563212016,9.003214803295476
112,-6.554883394149872,2.552481264889965,9.035600673534596
